FEATURE_ID,FEATURE_NA,LATITUDE,LONGITUDE,OID_,FEATURE__1,FEATURE__2,FEATURE_CL,STATE_ALPH,STATE_NUME,COUNTY_NAM,COUNTY_NUM,PRIMARY_LA,PRIMARY_LO,PRIMARY__1,PRIMARY__2,SOURCE_LAT,SOURCE_LON,SOURCE_L_1,SOURCE_L_2,ELEVATION,MAP_NAME
      910259.000000,Tularosa Creek,          33.086194,        -106.172773,34920,910259,Tularosa Creek,Stream,NM,35,Otero,35,330510N,1061022W,                 33,               -106,330706N,1054334W,33.11842,-105.726,1250,Tularosa
      910260.000000,Rio Valdez,          35.868920,        -105.576405,34921,910260,Rio Valdez,Stream,NM,35,Mora,33,355208N,1053435W,                 36,               -106,355748N,1053121W,35.96336,-105.523,2830,Elk Mount
      910261.000000,Rio Vallecitos,          36.383075,        -106.037521,34922,910261,Rio Vallecitos,Stream,NM,35,Rio Arrib,39,362259N,1060215W,                 36,               -106,364315N,1061647W,36.72085,-106.28,1974,La Madera
      910265.000000,Rito de la Olla,          36.281693,        -105.580846,34923,910265,Rito de la Olla,Stream,NM,35,Taos,55,361654N,1053451W,                 36,               -106,361611N,1052150W,36.26975,-105.364,2234,Ranchos D
      910266.000000,Rito de las Palomas,          35.991963,        -106.794205,34924,910266,Rito de las Palomas,Stream,NM,35,Sandoval,43,355931N,1064739W,                 36,               -107,360337N,1064627W,36.0603,-106.774,2471,Rancho de
      910267.000000,Rito de las Perchas,          36.042240,        -106.814761,34925,910267,Rito de las Perchas,Stream,NM,35,Rio Arrib,39,360232N,1064853W,                 36,               -107,360434N,1064637W,36.07611,-106.777,2898,Nacimient
      910268.000000,Rito de las Sillas,          36.139462,        -106.616425,34926,910268,Rito de las Sillas,Stream,NM,35,Rio Arrib,39,360822N,1063659W,                 36,               -107,360315N,1063349W,36.05419,-106.564,2133,Youngsvil
      910269.000000,Rito de los Alamitos,          35.469485,        -105.607793,34927,910269,Rito de los Alamitos,Stream,NM,35,San Migue,47,352810N,1053628W,                 35,               -106,353042N,1053642W,35.51171,-105.612,1967,North San
      910270.000000,Rito de los Chimayosos,          35.921696,        -105.599183,34928,910270,Rito de los Chimayosos,Stream,NM,35,Mora,33,355518N,1053557W,                 36,               -106,355829N,1053710W,35.97472,-105.619,2953,Pecos Fal
      910271.000000,Rito de los Ojos,          36.567515,        -106.659203,34929,910271,Rito de los Ojos,Stream,NM,35,Rio Arrib,39,363403N,1063933W,                 37,               -107,363808N,1063307W,36.63557,-106.552,2105,El Vado
      910272.000000,Rito de los Pinos,          36.040018,        -106.975872,34930,910272,Rito de los Pinos,Stream,NM,35,Sandoval,43,360224N,1065833W,                 36,               -107,360558N,1065207W,36.09946,-106.869,2105,Cuba
      910273.000000,Rito de los Utes,          36.071685,        -106.941984,34931,910273,Rito de los Utes,Stream,NM,35,Sandoval,43,360418N,1065631W,                 36,               -107,360435N,1065241W,36.07639,-106.878,2202,Cuba
      910274.000000,Rito de Abiquiu,          36.039743,        -106.370586,34932,910274,Rito de Abiquiu,Stream,NM,35,Rio Arrib,39,360223N,1062214W,                 36,               -106,360102N,1062345W,36.01724,-106.396,2669,Vallecito
      910275.000000,Rito de Gascon,          35.892533,        -105.445292,34933,910275,Rito de Gascon,Stream,NM,35,Mora,33,355333N,1052643W,                 36,               -105,355504N,1052951W,35.91778,-105.498,2462,Gascon
      910276.000000,Rito del Gato,          36.470304,        -105.560010,34934,910276,Rito del Gato,Stream,NM,35,Taos,55,362813N,1053336W,                 36,               -106,362858N,1053048W,36.48278,-105.513,2245,Taos
      910277.000000,Rito del Indio,          35.896966,        -106.800316,34935,910277,Rito del Indio,Stream,NM,35,Sandoval,43,355349N,1064801W,                 36,               -107,355251N,1065052W,35.88083,-106.848,2357,Rancho de
      910278.000000,Rito del Medio,          36.541961,        -106.468921,34936,910278,Rito del Medio,Stream,NM,35,Rio Arrib,39,363231N,1062808W,                 37,               -106,363304N,1062433W,36.55111,-106.409,2354,Cebolla
      910279.000000,Rito del Medio,          36.801969,        -105.571673,34937,910279,Rito del Medio,Stream,NM,35,Taos,55,364807N,1053418W,                 37,               -106,364714N,1052927W,36.78725,-105.491,2426,Cerro
