X,Y,ObjectId,Locationid,Permitid,Site_Name,Address1,City,Zip,County,Primarywaste_Type,Primaryoperation_Type,Permitstatus,Permitexpdate,Latitude,Longitude,Status
-8778226.5752,4255095.2973,73,P0467,9214-CDLF-1993,"BFI-Holly Springs Disposal, Inc.",4300 Holly Springs / Apex Road,Holly Springs,27540,Wake,CD,LF,Post-Closure,-,35.668445,-78.856151,Open
-8629881.6652,4291833.9014,74,P0469,33E-LCID-,Barnhill Contracting - APCO,E Northern Blvd (S.R. 1518),Tarboro,27886,Edgecombe,LCID,LF,InactiveClosed,-,35.936111,-77.523546,Closed
-8979431.8794,4211721.6192,75,P0470,1304-MSWLF-1992,BFI - Charlotte Mtr Speedway Landfill V,5105 Morehead Road,Concord,28027,Cabarrus,MSW,LF,Active,3/6/2052,35.351279,-80.663609,Open
-9239614.0272,4254612.159,76,P0471,4407-MSWLF-1993,Haywood Co White Oak Landfill,3898 Fines Creek Road,Waynesville,28785,Haywood,MSW,LF,Active,10/8/2053,35.664919,-83.000865,Open
-8997269.9373,4269049.7499,77,P0472,4903-MSWLF-1993,Iredell County Sanitary LF,354 Twin Oaks Road,Statesville,28625,Iredell,MSW,LF,Active,10/8/2053,35.770219,-80.823851,Open
-8800372.4747,4277215.7825,78,P0473,19C-LCID-,M & W DEMO LANDFILL,Lystra Road,Chapel Hill,27517,Chatham,LCID,LF,InactiveClosed,-,35.829716,-79.055091,Closed
-8996453.0748,4217690.0641,79,P0477,6013-CDLF-1993,Greenway Waste Solutions at North Meck,15300 Holbrooks Road,Huntersville,28078,Mecklenburg,CD,LF,Active,1/20/2017,35.394997,-80.816513,Open
-8686778.2815,4288705.6938,80,P0479,64A-DEMO-,Wallace Green Landfill,Sir Gus Road (S.R. 1920),Spring Hope,27882,Nash,CD,LF,InactiveClosed,-,35.913355,-78.034657,Closed
-9020114.7005,4222772.4403,81,P0483,55A-DEMO-,Duke Power Landfill,Old Plank Road (S.R. 1511),Stanly,28164,Lincoln,CD,LF,InactiveClosed,-,35.432206,-81.029069,Closed
-8826909.3715,4291037.88,82,P0486,0104-MSWLF-1994,Alamance County Austin Quarter SW Mgmt. Facility,2701 Austin Quarter Road,Graham,27253,Alamance,MSW,LF,Active,12/16/2020,35.930321,-79.293476,Open
-8925630.1677,4278968.4537,83,P0487,2906-MSWLF-1994,Davidson County MSW Lined Landfill,220 Davidson County Landfill Road,Lexington,27292,Davidson,MSW,LF,Post-Closure,-,35.84248,-80.1803,Open
-9015744.52,4329226.0573,84,P0488,9704-MSWLF-1993,Wilkes County MSWLF,9219 Elkin Highway,Roaring River,28669,Wilkes,MSW,LF,Active,10/7/2053,36.207611,-80.989811,Open
-8579129.6622,4317157.2127,85,P0492,0803-MSWLF-1993,East Carolina Environmental Regional Landfill,1922 Republican Road,Aulander,27805,Bertie,MSW,LF,Active,10/8/2053,36.120083,-77.067633,Open
-8794026.8185,4203486.3543,86,P0494,43B-LCID-1993,Harnett County LCID Landfill,Poplar Drive (S.R. 1164),Lillington,28390,Harnett,LCID,LF,InactiveClosed,-,35.290918,-78.998087,Closed
-8576410.0157,4201243.2241,87,P0496,2507-INDUS-,Weyerhaeuser Company,Hudnell Spur Road,New Bern,28527,Craven,Indus,LF,InactiveClosed,-,35.274469,-77.043202,Closed
-8805053.2367,4113524.295,88,P0497,78K-LCID-,Bear Swamp LCID Landfill,Bullock Road (S.R. 1549),Lumberton,28360,Robeson,LCID,LF,InactiveClosed,-,34.628608,-79.097139,Closed
-8625481.0944,4137761.4628,89,P0498,67B-LCID-,Mosely Demolition Landfill,S.R. 1320,Jacksonville,28540,Onslow,LCID,LF,InactiveClosed,-,34.807571,-77.484015,Closed
-8609878.4433,4236161.1648,90,P0508,74C-LCID-,E.R. Lewis Construction,5508 County Home Road,Greenville,27835,Pitt,LCID,LF,Active,3/5/2023,35.530145,-77.343854,Open
-9258903.1346,4166553.7243,91,P0519,5704-CDLF-1993,Highlands C&D Landfill,1080 Rich Gap Road,Highlands,28763,Macon,CD,LF,Post-Closure,-,35.019664,-83.174142,Open
-8929920.8661,4311510.187,92,P0522,348801-DEMO-,Walter S. Foster,1519 Stadium Drive,Winston-Salem,27108,Forsyth,CD,LF,InactiveClosed,-,36.079095,-80.218844,Closed
-8929582.2322,4305978.7147,93,P0523,348811-DEMO-,Tim Beeman,Rosann Drive,Winston-Salem,27107,Forsyth,CD,LF,InactiveClosed,-,36.038925,-80.215802,Closed
-8945205.8114,4303952.0411,94,P0524,348812-LCID-,William Fredrick,S. Stratford Road,Clemmons,27103,Forsyth,LCID,LF,InactiveClosed,-,36.024202,-80.356151,Closed
-8928077.304,4318877.8899,95,P0525,348817-DEMO-,Clint Bodford,New Walkertown Road,Winston-Salem,27105,Forsyth,CD,LF,InactiveClosed,-,36.132568,-80.202283,Closed
-8927823.1616,4313155.5773,96,P0527,348919-DEMO-,J.R. Yarbrough,Reynolds Manor Drive,Winston-Salem,27107,Forsyth,CD,LF,InactiveClosed,-,36.09104,-80.2,Closed
-8928496.4219,4330048.7595,97,P0528,349002-DEMO-,Timothy Phillips,7025 Baux Mountain Road,Germanton,27109,Forsyth,CD,LF,InactiveClosed,-,36.213574,-80.206048,Closed
-8944482.2347,4301003.4897,98,P0529,349004-DEMO-,Frank Edwards,5645 Loop Road,Clemmons,27012,Forsyth,CD,LF,InactiveClosed,-,36.002777,-80.349651,Closed
-8956293.4553,4314467.9363,99,P0530,349005-LCID-,H.G. MYERS,7775-7805 Shallowford Road,Lewisville,27023,Forsyth,LCID,LF,InactiveClosed,-,36.100566,-80.455753,Closed
-8930462.8807,4306074.118,100,P0531,349007-DEMO-1990,"Winston-Salem, City of",Old Milwaukee Lane,Winston-Salem,27107,Forsyth,CD,LF,InactiveClosed,-,36.039618,-80.223713,Closed
-8912207.3748,4324744.1698,101,P0533,34AA-LCID-,Piney Hill Acres LCID Landfill,2020 Piney Grove Road,Kernersville,27284,Forsyth,LCID,LF,Active,4/6/2020,36.175118,-80.059721,Open
-8948364.2793,4310617.1388,102,P0534,349018-DEMO-,D.W. Redding,5900 Marty Lane,Clemmons,27012,Forsyth,CD,LF,InactiveClosed,-,36.072611,-80.384524,Closed
-8930964.709,4325380.6216,103,P0535,349102-LCID-,Diane Lawson,5650 Pineview Drive,Winston-Salem,27105,Forsyth,LCID,LF,InactiveClosed,-,36.179733,-80.228221,Closed
-8912080.4706,4324573.9959,104,P0536,349103-DEMO-,Dean Weatherman,2081 Piney Grove Road,Kernersville,27284,Forsyth,CD,LF,InactiveClosed,-,36.173884,-80.058581,Closed
-8947727.1979,4329555.7929,105,P0537,349104-DEMO-,Ed Shamel,4345 Briggs Road,Tobaccoville,27050,Forsyth,CD,LF,InactiveClosed,-,36.210001,-80.378801,Closed
-8957662.0172,4312709.3894,106,P0538,34902C-DEMO-,Carl Stewart,1439 Hauser Road,Lewisville,27023,Forsyth,CD,LF,InactiveClosed,-,36.087801,-80.468047,Closed
-8584880.7611,4244731.0017,107,P0540,0701-DEMO-,Beaufort County,The Dirt Road,Washington,27889,Beaufort,CD,LF,InactiveClosed,-,35.592771,-77.119296,Closed
-8489969.9858,4333493.6691,108,P0541,7002-CDLF-1996,Pasquotank County C&D Landfill,983 Simpson Ditch Road,Elizabeth City,27909,Pasquotank,CD,LF,Active,4/4/2056,36.238538,-76.266698,Open
-8982329.1918,4193715.3148,109,P0545,6001-CDLF-1993,Harrisburg Road C&D Landfill,Harrisburg Road (S.R. 2805),Charlotte,28215,Mecklenburg,CD,LF,InactiveClosed,-,35.219242,-80.689636,Closed
-9122979.6986,4211444.8321,110,P0548,8103-CDLF-2002,Rutherford County C&D,656 Laurel Hill Drive,Rutherfordton,28139,Rutherford,CD,LF,Active,7/24/2062,35.349251,-81.953121,Open
-8748290.5378,4111043.3101,111,P0549,0901-MSWLF-,Bladen County,NC Hwy 87 Bypass,Elizabethtown,28337,Bladen,MSW,LF,InactiveClosed,-,34.610267,-78.587231,Closed
-8784437.0896,4354105.9382,112,P0554,7301-MSWLF-,Person County Landfill,Cedar Grove Church Road (S.R. 1552),Roxboro,27574,Person,MSW,LF,InactiveClosed,-,36.387741,-78.911941,Closed
-8997226.5227,4269176.2488,113,P0556,4903-CDLF-1993,Iredell County Solid Waste,354 Twin Oaks Road,Statesville,28625,Iredell,CD,LF,InactiveClosed,-,35.771141,-80.823461,Open
-8815671.5576,4213982.3071,114,P0557,5301-CDLF-2002,Lee County C&D Landfill,331 Landfill Road,Sanford,27330,Lee,CD,LF,Post-Closure,-,35.367841,-79.192525,Open
-8976501.0599,4325605.1471,115,P0560,9902-CDLF-1993,Yadkin County C&D Landfill,1149 Landfill Road,Yadkinville,27055,Yadkin,CD,LF,Post-Closure,-,36.181361,-80.637281,Open
-8832553.8263,4302806.518,116,P0002,0101-MSWLF-1979,Alamance County Landfill,3066 Swepsonville Road (S.R. 2158),Graham,27253,Alamance,MSW,LF,Post-Closure,-,36.015879,-79.344181,Closed
-8928817.356,4314989.5627,117,P0247,34V-DEMO-,Cleveland Harris,Barbara Jane Avenue,Winston-Salem,27101,Forsyth,CD,LF,InactiveClosed,-,36.104352,-80.208931,Closed
-8749278.9435,4111300.0269,118,P0941,0905-CDLF-2000,Bladen County C&D Landfill,1003 Mercer Mill Road,Elizabethtown,28337,Bladen,CD,LF,Post-Closure,-,34.612165,-78.59611,Open
-8946213.5868,4301200.8146,119,P0248,34W-DEMO-,Chris Shelton,End of Clementine Drive,Clemmons,27012,Forsyth,CD,LF,InactiveClosed,-,36.004211,-80.365204,Closed
-8973293.1661,4209821.7823,120,P0946,1306-CDLF-2000,Highway 49 C&D Landfill & Recycling Greenway Waste,2105 Speedrail Court,Concord,28025,Cabarrus,CD,LF,Active,7/1/2016,35.337358,-80.608464,Open
-8620519.1394,4245315.559,121,P0120,7401-MSWLF-1974,Pitt County Landfill,Allen Road (S.R. 1203),Greenville,27834,Pitt,MSW,LF,Post-Closure,-,35.597041,-77.439441,Closed
-9148702.4047,4207267.5287,122,P0121,7502C-MSWLF-1981,Polk County MSW Landfill,NC Hwy 9,Columbus,28756,Polk,MSW,LF,Post-Closure,-,35.318638,-82.184192,Closed
-8879113.092,4267020.8907,123,P0122,7601-MSWLF-1983,Randolph County Landfill,Henley Country Road (S.R. 2215),Asheboro,27317,Randolph,MSW,LF,Post-Closure,-,35.75543,-79.76243,Closed
-8879843.3479,4266462.6056,124,P0123,7602-INDUS-1983,Energizer Battery Manufacturing Inc.,County Land Road,Randleman,27317,Randolph,Indus,LF,Active,12/15/2043,35.75136,-79.76899,Open
-8855271.908,4166961.11,125,P0124,7702-MSWLF-,Richmond County Landfill,Docker Road (S.R. 1306),Rockingham,28347,Richmond,MSW,LF,Post-Closure,-,35.022661,-79.548261,Closed
-8784275.899,4135753.3273,126,P0125,7803-MSWLF-1985,Robeson County Landfill,NC Hwy 20,St. Pauls,28284,Robeson,MSW,LF,Post-Closure,-,34.792758,-78.910493,Closed
-8888213.683,4351520.3847,127,P0126,7901-MSWLF-1979,Rockingham County Landfill,Shuff Road / South of NC Hwy 704,Wentworth,27025,Rockingham,MSW,LF,Post-Closure,-,36.369041,-79.844182,Closed
-8964131.6833,4252512.6873,128,P0127,8001-MSWLF-1982,Rowan County Landfill,Airport Road (S.R. 1516),Salisbury,28147,Rowan,MSW,LF,Post-Closure,-,35.649595,-80.526165,Closed
-8972105.8324,4275631.8377,129,P0128,8002-INDUS-1974,Celanese Fibers,Needmore Road (S.R. 1984),Salisbury,27054,Rowan,Indus,LF,Post-Closure,-,35.818179,-80.597798,Closed
-9106722.6002,4200774.4458,130,P0129,8102-MSWLF-1977,Rutherford County Landfill,Avondale Landfill Road (S.R. 2138),Forest City,28043,Rutherford,MSW,LF,Post-Closure,-,35.271031,-81.807081,Closed
-9123224.6015,4211204.6281,131,P0130,8103-MSWLF-1974,Rutherford County MSW Facility,656 Laurel Hill Drive,Rutherfordton,28139,Rutherford,MSW,LF,Post-Closure,-,35.347491,-81.955321,Open
-8733728.0559,4161434.0621,132,P0131,8202-MSWLF-2000,"Sampson County Disposal, LLC",7434 Roseboro Highway,Roseboro,28382,Sampson,MSW,LF,Active,6/1/2026,34.981991,-78.456414,Open
-8836800.6649,4126473.5203,133,P0132,8301-MSWLF-1980,Scotland County Landfill,Rocky Ford Road (S.R. 1611),Maxton,28364,Scotland,MSW,LF,Post-Closure,-,34.724271,-79.382331,Closed
-8922382.7555,4205324.2634,134,P0133,8401-MSWLF-1983,"Albemarle, City of",Valley Drive (S.R. 1720),Albemarle,28001,Stanly,MSW,LF,InactiveClosed,-,35.304393,-80.151128,Closed
-8934805.2314,4351273.0613,135,P0134,8501-MSWLF-1986,Stokes County Landfill,Sizemore Road (S.R. 1997),Danbury,27019,Stokes,MSW,LF,Post-Closure,-,36.367252,-80.262721,Closed
